Number,mean=1 stdd=10,mean=1 stdd=1.5,mean=1 stdd=0.125
3.1500000000000004,0.012663458498325137,0.0840255446217551,0.5055143244950232
3.2,0.012465287135436121,0.08262280031074956,0.425525766485937
3.25,0.012273188278932989,0.08125593296182712,0.3536259952871841
3.3000000000000003,0.012086887105708375,0.07992368942458834,0.29030911180190516
3.35,0.011906125133724636,0.07862487192033633,0.23557664226822403
3.4000000000000004,0.01173065902489065,0.07735833511488159,0.18906079959554806
3.45,0.011560259491686561,0.07612298336814922,0.15014046475220566
3.5,0.01139471029719349,0.07491776814893936,0.11804235906764544
3.5500000000000003,0.011233807339347599,0.07374168560397802,0.09192361383096327
3.6,0.011077357811254863,0.07259377427113371,0.0709348624143231
3.6500000000000004,0.01092517943029515,0.07147311292736701,0.054265019632101306
3.7,0.01077709972952812,0.0703788185626293,0.04117014600865756
3.75,0.010632955405603448,0.06931004447153072,0.030989368357969397
3.8000000000000003,0.010492591717986537,0.06826597845516275,0.02315091605007929
3.85,0.010355861934848455,0.06724584112598615,0.017171101217739116
3.9000000000000004,0.010222626821444595,0.06624888430918435,0.012648661927348396
3.95,0.010092754167228232,0.06527438953433762,0.009256407579710269
4.0,0.009966118348319538,0.06432166661169615,0.006731629616573037
4.05,0.009842599922283458,0.06339005228772335,0.004866312994763419
4.1000000000000005,0.009722085252466326,0.062478908974945235,0.0034978271164828848
4.15,0.009604466159405405,0.061587623551481015,0.0025004951019257675
4.2,0.00948963959706171,0.0607156062259441,0.001778233310947704
4.25,0.009377507351837634,0.05986228946369528,0.0012583090937950537
4.3,0.009267975762529957,0.059027126970700186,8.861718507585441E-4
4.3500000000000005,0.009160955459538572,0.058209592731495445,6.212585321906564E-4
4.4,0.00905636112180342,0.057409180098000834,4.336488662419333E-4
4.45,0.008954111250079132,0.05662540092613228,3.0143883702832427E-4
4.5,0.008854127955280226,0.055857784757371465,2.0870618877223302E-4
4.55,0.008756336760740693,0.05510587804263516,1.439537715306688E-4
4.6000000000000005,0.008660666417332168,0.05436924340596121,9.893170470811022E-5
4.65,0.008567048730475483,0.053647458945689445,6.775519795991292E-5
4.7,0.008475418398162252,0.05294011757096628,4.624996130361382E-5
4.75,0.008385712859177444,0.052246826371541114,3.1470659881775255E-5
4.800000000000001,0.008297872150781102,0.05156720601895283,2.1349485930017573E-5
4.8500000000000005,0.008211838775168357,0.05090089019732513,1.4441585929895334E-5
4.9,0.008127557574082397,0.050247525062102484,9.741920735295141E-6
4.95,0.008044975611005452,0.049606768725162696,6.554363736703468E-6
5.0,0.007964042060398668,0.04897829076484022,4.398701758146573E-6
